spc_latin,spc_common,NY Count,BK Count,QN Count,BX Count,SI Count
Acer rubrum,red maple,356,2384,4935,2198,7373
Quercus palustris,pin oak,4584,12343,22610,6445,7203
Gleditsia triacanthos var. inermis,honeylocust,13175,16921,20290,9691,4186
Tilia americana,American linden,1583,4023,4769,2132,1023
Platanus x acerifolia,London planetree,4122,34886,31111,7511,9384
Ginkgo biloba,ginkgo,5859,5595,5971,2685,914
Quercus phellos,willow oak,889,802,730,505,258
Acer pseudoplatanus,sycamore maple,23,544,1603,247,314
Acer ginnala,Amur maple,30,263,671,431,654
Acer campestre,hedge maple,23,578,675,798,476
Ulmus americana,American elm,1698,2587,1709,1471,510
Fraxinus,ash,58,369,1324,289,569
Malus,crab apple,437,626,1404,507,553
Acer saccharinum,silver maple,71,1375,6116,662,4053
Corylus colurna,Turkish hazelnut,17,93,136,54,17
Prunus serotina,black cherry,32,152,269,64,90
Juniperus virginiana,eastern redcedar,42,290,532,158,79
Acer platanoides,Norway maple,290,6989,19407,3376,4127
Liriodendron tulipifera,tulip-poplar,34,275,489,62,216
Quercus acutissima,sawtooth oak,353,785,579,363,164
Styphnolobium japonicum,Sophora,4453,5989,5386,2555,955
Quercus bicolor,swamp white oak,681,2714,1584,826,793
Chionanthus retusus,Chinese fringetree,9,53,93,31,48
Magnolia grandiflora,southern magnolia,19,27,48,19,19
Liquidambar styraciflua,sweetgum,227,2027,2489,904,5010
Pyrus calleryana,Callery pear,7297,9081,16547,4947,21059
Quercus coccinea,scarlet oak,71,720,276,302,96
Chamaecyparis thyoides,Atlantic white cedar,12,95,133,53,62
Quercus velutina,black oak,192,441,372,224,98
Zelkova serrata,Japanese zelkova,3596,9659,8987,4638,2378
Quercus alba,white oak,241,503,507,203,232
Aesculus glabra,Ohio buckeye,24,21,19,6,5
Quercus rubra,northern red oak,1143,2468,2697,1483,609
Tilia tomentosa,silver linden,541,2373,4146,670,265
Carya glabra,pignut hickory,1,16,54,7,21
Cladrastis kentukea,Kentucky yellowwood,18,124,187,88,62
Morus,mulberry,68,206,581,155,147
Pseudotsuga menziesii,Douglas-fir,2,30,37,8,8
Lagerstroemia,crepe myrtle,5,65,240,45,87
Sassafras albidum,sassafras,17,41,73,16,24
Picea,spruce,1,32,126,9,34
Ulmus parvifolia,Chinese elm,785,1593,1020,1321,626
Aesculus hippocastanum,horse chestnut,11,223,574,102,186
Ilex,holly,26,35,50,11,16
Tilia cordata,littleleaf linden,3333,8903,11902,3917,1687
Pinus strobus,white pine,1,37,100,17,47
Nyssa sylvatica,blackgum,9,123,76,28,52
Prunus,cherry,869,5706,13497,4092,5115
Syringa reticulata,Japanese tree lilac,129,1005,1964,579,891
Eucommia ulmoides,hardy rubber tree,66,377,278,101,93
Fraxinus pennsylvanica,green ash,770,3808,7389,1889,2395
Quercus robur,English oak,197,559,461,223,204
Fraxinus americana,white ash,50,342,400,174,155
Koelreuteria paniculata,golden raintree,359,941,1304,518,597
Quercus shumardii,Schumard's oak,137,582,225,261,282
Ulmus pumila,Siberian elm,156,507,340,392,200
Juglans nigra,black walnut,33,82,91,43,46
Salix babylonica,weeping willow,12,55,133,27,55
Cercidiphyllum japonicum,katsura tree,38,265,364,145,99
Robinia pseudoacacia,black locust,259,441,490,354,240
Parrotia persica,Persian ironwood,1,67,157,29,23
Cornus mas,Cornelian cherry,27,251,327,170,291
Castanea mollissima,Chinese chestnut,17,54,59,19,24
Quercus falcata,southern red oak,7,20,27,11,18
Prunus cerasifera,purple-leaf plum,110,1198,3035,774,1762
Acer platanoides 'Crimson King',crimson king maple,6,999,2903,195,1820
Gymnocladus dioicus,Kentucky coffeetree,348,1176,1036,452,352
Styrax japonicus,Japanese snowbell,15,88,198,55,36
Acer saccharum,sugar maple,48,603,1282,362,549
Thuja occidentalis,arborvitae,5,68,175,26,54
Cercis reniformis,Oklahoma redbud,9,51,82,47,30
Ailanthus altissima,tree of heaven,104,235,271,82,64
Syringa pekinensis,Chinese tree lilac,8,91,204,53,106
Carpinus caroliniana,American hornbeam,85,343,525,295,269
Populus deltoides,eastern cottonwood,10,40,106,56,64
Tsuga canadensis,eastern hemlock,7,33,25,7,16
Betula pendula,silver birch,10,114,84,42,50
Cedrus atlantica,Atlas cedar,0,34,39,6,8
Paulownia tomentosa,empress tree,17,36,94,57,41
Crataegus,hawthorn,219,593,1058,472,646
Prunus virginiana,'Schubert' chokecherry,163,1308,2013,575,829
Catalpa,catalpa,13,73,307,133,25
Betula nigra,river birch,27,116,208,55,159
Acer negundo,boxelder,2,14,15,17,16
Fagus sylvatica,European beech,6,42,51,14,12
Picea abies,Norway spruce,3,67,191,43,51
Cedrus deodara,Himalayan cedar,6,14,30,1,21
Phellodendron amurense,Amur cork tree,8,46,71,32,26
Acer palmatum,Japanese maple,11,114,760,85,160
Quercus imbricaria,shingle oak,205,277,333,177,57
Magnolia,magnolia,116,83,317,62,121
Cotinus coggygria,smoketree,1,10,42,3,2
Betula papyrifera,paper birch,47,134,170,62,122
Fagus grandifolia,American beech,22,83,88,31,49
Ostrya virginiana,American hophornbeam,84,366,295,185,151
Larix laricina,American larch,7,8,10,12,9
Taxodium ascendens,pond cypress,12,102,30,30,7
Crataegus crusgalli var. inermis,cockspur hawthorn,3,72,120,56,90
Metasequoia glyptostroboides,dawn redwood,199,1130,874,396,421
Celtis occidentalis,common hackberry,170,603,631,807,171
Cornus florida,flowering dogwood,65,360,684,150,293
Cornus kousa,kousa dogwood,13,72,121,41,55
Acer,maple,37,445,2992,995,2611
Cercis canadensis,eastern redbud,50,796,1358,632,965
Taxodium distichum,bald cypress,89,645,313,85,129
Magnolia acuminata,cucumber magnolia,12,48,52,19,38
Amelanchier,serviceberry,38,363,888,307,436
Maclura pomifera,Osage-orange,1,8,12,3,5
Acer griseum,paperbark maple,15,59,73,35,38
Pinus resinosa,red pine,1,26,52,10,17
Pinus sylvestris,Scots pine,2,3,15,2,3
Acer tataricum,tartar maple,12,16,50,43,32
Acer nigrum,black maple,10,31,23,14,36
Picea pungens,blue spruce,4,19,61,16,26
Populus tremuloides,quaking aspen,2,21,35,5,20
Aesculus x carnea,red horse chestnut,1,21,58,12,24
Pinus nigra,black pine,3,5,24,2,3
Acer truncatum,Shantung maple,0,12,27,9,11
Alnus glutinosa,European alder,2,10,17,6,12
Maackia amurensis,Amur maackia,59,729,675,466,268
Carpinus betulus,European hornbeam,167,494,803,449,186
Quercus macrocarpa,bur oak,36,158,170,80,71
Populus grandidentata,bigtooth aspen,5,23,37,7,22
Acer buergerianum,trident maple,0,12,68,7,23
Pinus virginiana,Virginia pine,3,3,3,1,0
Cornus alternifolia,pagoda dogwood,18,80,81,18,83
Carpinus japonica,Japanese hornbeam,62,149,97,74,44
Pinus,pine,3,45,194,19,28
Halesia diptera,two-winged silverbell,8,57,73,26,57
Chamaecyparis pisifera,false cypress,0,35,51,13,9
Pinus rigida,pitch pine,5,9,10,3,6
Albizia julibrissin,mimosa,12,85,40,17,9
